"gid","iso_a2","code","name","level_0","level_1","bbox"
201001,"US","01001","Autauga","US","Alabama","-86.921237 32.307574 -86.411172 32.708213"
201003,"US","01003","Baldwin","US","Alabama","-88.032176 30.219643 -87.391032 31.319017"
201005,"US","01005","Barbour","US","Alabama","-85.748433 31.617565 -85.048825 32.148251"
201007,"US","01007","Bibb","US","Alabama","-87.421989 32.831522 -86.876023 33.246926"
201009,"US","01009","Blount","US","Alabama","-86.963358 33.765171 -86.303516 34.260483"
201011,"US","01011","Bullock","US","Alabama","-85.999258 31.880275 -85.410042 32.305289"
201013,"US","01013","Butler","US","Alabama","-86.908939 31.523673 -86.438341 31.964629"
201015,"US","01015","Calhoun","US","Alabama","-86.146225 33.55593 -85.529432 33.96846"
201017,"US","01017","Chambers","US","Alabama","-85.593653 32.72853 -85.122189 33.109038"
201019,"US","01019","Cherokee","US","Alabama","-85.843875 33.941423 -85.398837 34.526271"
201021,"US","01021","Chilton","US","Alabama","-87.019157 32.660117 -86.371118 33.07188"
201023,"US","01023","Choctaw","US","Alabama","-88.473227 31.697929 -87.92825 32.310574"
201025,"US","01025","Clarke","US","Alabama","-88.180821 31.185486 -87.50093 31.991355"
201027,"US","01027","Clay","US","Alabama","-86.17437 33.09026 -85.641129 33.498904"
201029,"US","01029","Cleburne","US","Alabama","-85.887782 33.469226 -85.304439 33.964204"
201031,"US","01031","Coffee","US","Alabama","-86.196365 31.182023 -85.789139 31.619311"
201033,"US","01033","Colbert","US","Alabama","-88.139988 34.56623 -87.415888 34.906694"
201035,"US","01035","Conecuh","US","Alabama","-87.427516 31.181133 -86.662082 31.753035"
201037,"US","01037","Coosa","US","Alabama","-86.522283 32.753434 -85.999748 33.104702"
201039,"US","01039","Covington","US","Alabama","-86.702791 30.993258 -86.186876 31.528604"
201041,"US","01041","Crenshaw","US","Alabama","-86.503948 31.440072 -86.14395 32.05171"
201043,"US","01043","Cullman","US","Alabama","-87.151036 33.857954 -86.451111 34.313799"
201045,"US","01045","Dale","US","Alabama","-85.791581 31.195173 -85.415334 31.620566"
201047,"US","01047","Dallas","US","Alabama","-87.47308 32.047202 -86.806867 32.729532"
201049,"US","01049","DeKalb","US","Alabama","-86.118911 34.199262 -85.513612 34.860371"
201051,"US","01051","Elmore","US","Alabama","-86.413335 32.406036 -85.852625 32.769225"
201053,"US","01053","Escambia","US","Alabama","-87.616074 30.994487 -86.688063 31.261997"
201055,"US","01055","Etowah","US","Alabama","-86.370152 33.841598 -85.737137 34.200756"
