"gid","iso_a2","code","name","level_0","level_1","level_2","level_3","bbox"
100000039005,"FR","39005","Abergement-Saint-Jean","FR","Bourgogne-Franche-Comté","Jura","Neublans-Abergement","5.351327 46.882757 5.378858 46.901017"
100000050011,"FR","05001","Abriès","FR","Provence-Alpes-Côte d'Azur","Hautes-Alpes","Abriès-Ristolas","6.86613 44.759998 7.023817 44.863678"
100000089001,"FR","89001","Accolay","FR","Bourgogne-Franche-Comté","Yonne","Deux Rivières","3.679843 47.631728 3.724656 47.676696"
100000014002,"FR","14002","Acqueville","FR","Normandie","Calvados","Cesny-les-Sources","-0.39489 48.957603 -0.347962 48.984653"
100000050001,"FR","50001","Acqueville","FR","Normandie","Manche","La Hague","-1.766312 49.590848 -1.732916 49.631116"
100000080007,"FR","80007","Agnières","FR","Hauts-de-France","Somme","Hescamps","1.837602 49.697648 1.933257 49.737327"
100000017001,"FR","17001","Agonnay","FR","Nouvelle-Aquitaine","Charente-Maritime","Saint-Savinien","-0.748011 45.878014 -0.715115 45.907154"
100000079004,"FR","79004","Aigonnay","FR","Nouvelle-Aquitaine","Deux-Sèvres","Aigondigné","-0.285668 46.298791 -0.214269 46.349255"
100000160051,"FR","16005","Aigre","FR","Nouvelle-Aquitaine","Charente","Aigre","-0.022715 45.871602 0.022233 45.904517"
100000073002,"FR","73002","Aiguebelle","FR","Auvergne-Rhône-Alpes","Savoie","Val-d'Arc","6.292367 45.516916 6.314889 45.549882"
100000730031,"FR","73003","Aigueblanche","FR","Auvergne-Rhône-Alpes","Savoie","Grand-Aigueblanche","6.473165 45.478156 6.562198 45.562952"
100000890031,"FR","89003","Aillant-sur-Tholon","FR","Bourgogne-Franche-Comté","Yonne","Montholon","3.274265 47.855903 3.378362 47.884955"
100000730061,"FR","73006","Aime","FR","Auvergne-Rhône-Alpes","Savoie","Aime-la-Plagne","6.604687 45.492816 6.669412 45.568019"
100000140051,"FR","14005","Airan","FR","Normandie","Calvados","Valambray","-0.180074 49.07048 -0.113624 49.130173"
100000790051,"FR","79005","Airvault","FR","Nouvelle-Aquitaine","Deux-Sèvres","Airvault","-0.177251 46.798299 -0.106653 46.845786"
100000260011,"FR","26001","Aix-en-Diois","FR","Auvergne-Rhône-Alpes","Drôme","Solaure en Diois","5.325614 44.686624 5.429789 44.716499"
100000100031,"FR","10003","Aix-en-Othe","FR","Grand Est","Aube","Aix-Villemaur-Pâlis","3.687618 48.144311 3.792072 48.238904"
100000027007,"FR","27007","Ajou","FR","Normandie","Eure","Mesnil-en-Ouche","0.744633 48.958907 0.794396 49.008594"
100000025010,"FR","25010","Alaise","FR","Bourgogne-Franche-Comté","Doubs","Éternoz","5.944788 46.991263 5.992054 47.030959"
100000730101,"FR","73010","Albens","FR","Auvergne-Rhône-Alpes","Savoie","Entrelacs","5.907576 45.758731 5.963036 45.814632"
100000004003,"FR","04003","Albiosc","FR","Provence-Alpes-Côte d'Azur","Alpes-de-Haute-Provence","Esparron-de-Verdon","6.002299 43.72787 6.064278 43.756744"
100000028002,"FR","28002","Allaines-Mervilliers","FR","Centre-Val de Loire","Eure-et-Loir","Janville-en-Beauce","1.77193 48.169086 1.878054 48.218599"
100000045003,"FR","45003","Allainville-en-Beauce","FR","Centre-Val de Loire","Loiret","Outarville","2.044741 48.217102 2.085854 48.252624"
100000670041,"FR","67004","Allenwiller","FR","Grand Est","Bas-Rhin","Sommerau","7.339451 48.640249 7.388976 48.665983"
100000067007,"FR","67007","Altenstadt","FR","Grand Est","Bas-Rhin","Wissembourg","7.85754 48.978759 8.069166 49.055396"
100000490031,"FR","49003","Ambillou-Château","FR","Pays de la Loire","Maine-et-Loire","Tuffalun","-0.37829 47.226966 -0.288758 47.293268"
100000055006,"FR","55006","Amblaincourt","FR","Grand Est","Meuse","Beausite","5.204813 48.954028 5.232542 48.977672"
100000016010,"FR","16010","Ambleville","FR","Nouvelle-Aquitaine","Charente","Lignières-Ambleville","-0.242556 45.544256 -0.204143 45.572969"
100000008009,"FR","08009","Amblimont","FR","Grand Est","Ardennes","Mouzon","5.029977 49.620228 5.093795 49.640371"
