"gid","iso_a2","code","name","level_1","level_2"
400000,"US","00",NULL,"Puerto Rico",NULL
400000,"US","00",NULL,"United States Virgin Islands",NULL
400001,"US","01","Anniston","Alabama","Calhoun"
400001,"US","01","Fort Rucker","Alabama","Dale"
400001,"US","01","Heflin","Alabama","Cleburne"
400001,"US","01","Bay Minette","Alabama","Baldwin"
400001,"US","01","Selma","Alabama","Dallas"
400001,"US","01","Stockton","Alabama","Baldwin"
400001,"US","01","Daphne","Alabama","Baldwin"
400001,"US","01","Maplesville","Alabama","Chilton"
400001,"US","01",NULL,"Massachusetts",NULL
400001,"US","01","Alexandria-Webster Chapel","Alabama","Calhoun"
400001,"US","01","Bayou La Batre","Alabama","Mobile"
400001,"US","01","Ohatchee","Alabama","Calhoun"
400001,"US","01","Foley","Alabama","Baldwin"
400001,"US","01","Centreville-Brent","Alabama","Bibb"
400001,"US","01","Mobile","Alabama","Mobile"
400001,"US","01","Phenix City","Alabama","Russell"
400001,"US","01","Enterprise","Alabama","Coffee"
400001,"US","01","Grand Bay","Alabama","Mobile"
400002,"US","02",NULL,"Rhode Island",NULL
400002,"US","02","Kusilvak","Alaska","Kusilvak"
400002,"US","02","Chugach","Alaska","Chugach"
400002,"US","02","Copper River","Alaska","Copper River"
400002,"US","02","Petersburg","Alaska","Petersburg"
400002,"US","02","Bristol Bay","Alaska","Bristol Bay"
400002,"US","02","Southeast Fairbanks","Alaska","Southeast Fairbanks"
400002,"US","02","Northwest Arctic","Alaska","Northwest Arctic"
400002,"US","02","Hyder","Alaska","Prince of Wales-Hyder"
400002,"US","02","Aniak","Alaska","Bethel"
400002,"US","02","Aleutians East","Alaska","Aleutians East"
400002,"US","02","Lake and Peninsula","Alaska","Lake and Peninsula"
400002,"US","02","Haines","Alaska","Haines"
400002,"US","02","Wrangell","Alaska","Wrangell"
400002,"US","02","Denali","Alaska","Denali"
400002,"US","02","Lower Kuskokwim","Alaska","Bethel"
400002,"US","02","Seward-Hope","Alaska","Kenai Peninsula"
400002,"US","02","Hoonah-Angoon","Alaska","Hoonah-Angoon"
400002,"US","02","Koyukuk-Middle Yukon","Alaska","Yukon-Koyukuk"
400002,"US","02","North Slope","Alaska","North Slope"
400002,"US","02","Sitka","Alaska","Sitka"
400002,"US","02",NULL,"Massachusetts",NULL
400002,"US","02","McGrath-Holy Cross","Alaska","Yukon-Koyukuk"
400002,"US","02","Ketchikan","Alaska","Ketchikan Gateway"
400002,"US","02","Aleutians West","Alaska","Aleutians West"
400002,"US","02","Anchorage","Alaska","Anchorage"
400002,"US","02","Juneau","Alaska","Juneau"
400002,"US","02","Fairbanks North Star","Alaska","Fairbanks North Star"
400002,"US","02","Kodiak Island","Alaska","Kodiak Island"
400002,"US","02","Matanuska-Susitna","Alaska","Matanuska-Susitna"
400002,"US","02","Kenai-Cook Inlet","Alaska","Kenai Peninsula"
400002,"US","02","Prince of Wales","Alaska","Prince of Wales-Hyder"
400002,"US","02","Dillingham","Alaska","Dillingham"
400002,"US","02","Nome","Alaska","Nome"
400002,"US","02","Yukon Flats","Alaska","Yukon-Koyukuk"
400002,"US","02","Yakutat","Alaska","Yakutat"
400003,"US","03",NULL,"Maine",NULL
400003,"US","03",NULL,"New Hampshire",NULL
400004,"US","04","Tuba City","Arizona","Coconino"
400004,"US","04","St. Johns","Arizona","Apache"
400004,"US","04","Eloy","Arizona","Pinal"
400004,"US","04","Mingus Mountain","Arizona","Yavapai"
400004,"US","04","Tonto National Forest","Arizona","Maricopa"
400004,"US","04","Bisbee","Arizona","Cochise"
400004,"US","04","Parker","Arizona","La Paz"
400004,"US","04","Hopi","Arizona","Navajo"
400004,"US","04","Snowflake","Arizona","Navajo"
400004,"US","04","Hopi","Arizona","Coconino"
400004,"US","04","Yuma","Arizona","Yuma"
400004,"US","04","San Carlos","Arizona","Graham"
400004,"US","04","Kaibab Plateau","Arizona","Coconino"
400004,"US","04","San Manuel","Arizona","Pinal"
400004,"US","04","Marana","Arizona","Pima"
400004,"US","04","Fort Apache","Arizona","Gila"
400004,"US","04","Wellton","Arizona","Yuma"
400004,"US","04",NULL,"Maine",NULL
400004,"US","04","Camp Verde-Sedona","Arizona","Yavapai"
400004,"US","04","Flagstaff","Arizona","Coconino"
400004,"US","04","Ajo","Arizona","Pima"
400004,"US","04","North Pinal","Arizona","Pinal"
400004,"US","04","Fort Apache","Arizona","Navajo"
400004,"US","04","Deer Valley","Arizona","Maricopa"
400004,"US","04","Prescott","Arizona","Yavapai"
400004,"US","04","Somerton","Arizona","Yuma"
400004,"US","04","Sweetwater","Arizona","Apache"
400004,"US","04","Safford","Arizona","Graham"
400004,"US","04","Gila Bend","Arizona","Maricopa"
400004,"US","04","Tohono O'odham Nation","Arizona","Pinal"
400004,"US","04","Casa Grande","Arizona","Pinal"
400004,"US","04","Gila River","Arizona","Pinal"
400004,"US","04","Eagar-Springerville","Arizona","Apache"
400004,"US","04","Arivaca","Arizona","Pima"
400004,"US","04","Congress","Arizona","Yavapai"
400004,"US","04","Wickenburg","Arizona","Maricopa"
400004,"US","04","Tohono O'odham Nation","Arizona","Pima"
400004,"US","04","Florence","Arizona","Pinal"
400004,"US","04","San Carlos","Arizona","Gila"
400004,"US","04","Maricopa-Stanfield","Arizona","Pinal"
400004,"US","04","Fort Apache","Arizona","Apache"
400004,"US","04","Winslow-Holbrook","Arizona","Navajo"
400004,"US","04","Fort Defiance","Arizona","Apache"
400004,"US","04","Williams","Arizona","Coconino"
400004,"US","04","Hualapai","Arizona","Coconino"
400004,"US","04","Havasupai","Arizona","Coconino"
400004,"US","04","Cordes Lakes-Mayer","Arizona","Yavapai"
400004,"US","04","Salt River","Arizona","Maricopa"
400004,"US","04","Phoenix","Arizona","Maricopa"
400004,"US","04","Dennehotso","Arizona","Apache"
400004,"US","04","North Mohave","Arizona","Mohave"
400004,"US","04","Sierra Vista","Arizona","Cochise"
400004,"US","04","Clifton","Arizona","Greenlee"
400004,"US","04","Buckeye","Arizona","Maricopa"
400005,"US","05","Old River","Arkansas","Jefferson"
400005,"US","05","1","Arkansas","Sebastian"
400005,"US","05","Auburn","Arkansas","Lincoln"
400005,"US","05","St. Francis","Arkansas","Phillips"
400005,"US","05","Mississippi","Arkansas","Crittenden"
400005,"US","05","Eagle","Arkansas","Pike"
400005,"US","05","Bowen","Arkansas","Mississippi"
400005,"US","05","4","Arkansas","Sebastian"
400005,"US","05","Pencil Bluff","Arkansas","Montgomery"
400005,"US","05","Clark","Arkansas","Pike"
400005,"US","05","Greenwood","Arkansas","Poinsett"
400005,"US","05","Half Moon Lake","Arkansas","Mississippi"
400005,"US","05","Bald Knob","Arkansas","White"
400005,"US","05","Clark","Arkansas","Logan"
400005,"US","05","Duncan","Arkansas","Monroe"
400005,"US","05","Oden","Arkansas","Montgomery"
400005,"US","05","Jasper","Arkansas","Crittenden"
400005,"US","05","Short Mountain","Arkansas","Logan"
400005,"US","05","Scott","Arkansas","Mississippi"
400005,"US","05","Dyer","Arkansas","Crawford"
400005,"US","05","Gravelly Hill","Arkansas","Yell"
400005,"US","05","Big Rock","Arkansas","Pulaski"
400005,"US","05",NULL,"Vermont",NULL
400005,"US","05","Rover","Arkansas","Yell"
400005,"US","05","Mill Creek","Arkansas","Scott"
400005,"US","05","Cache","Arkansas","Monroe"
400005,"US","05","Duckett","Arkansas","Howard"
400005,"US","05","Grant","Arkansas","Johnson"
400005,"US","05","Franklin","Arkansas","Little River"
400005,"US","05","Tappan","Arkansas","Phillips"
400005,"US","05","Briggsville","Arkansas","Yell"
400005,"US","05","Jackson","Arkansas","Monroe"
400005,"US","05","Harrison","Arkansas","White"
400005,"US","05","Thompson","Arkansas","Pike"
400005,"US","05","7","Arkansas","Calhoun"
400005,"US","05","Keevil","Arkansas","Monroe"
400005,"US","05","Upper","Arkansas","Sebastian"
400005,"US","05","Danley","Arkansas","Faulkner"
400005,"US","05","Roseville","Arkansas","Logan"
400005,"US","05","Ivy","Arkansas","Franklin"
400005,"US","05","Hector","Arkansas","Mississippi"
400005,"US","05","Van Buren","Arkansas","Crawford"
400005,"US","05","Gap Springs","Arkansas","Polk"
400005,"US","05","Little River","Arkansas","Poinsett"
400005,"US","05","White","Arkansas","Pike"
400005,"US","05","Ions Creek","Arkansas","Yell"
400005,"US","05","Big Lake","Arkansas","Mississippi"
