"gid","iso_a2","code","level_1"
500601,"US","00601","Puerto Rico"
500602,"US","00602","Puerto Rico"
500603,"US","00603","Puerto Rico"
500606,"US","00606","Puerto Rico"
500610,"US","00610","Puerto Rico"
500612,"US","00612","Puerto Rico"
500616,"US","00616","Puerto Rico"
500617,"US","00617","Puerto Rico"
500622,"US","00622","Puerto Rico"
500623,"US","00623","Puerto Rico"
500624,"US","00624","Puerto Rico"
500627,"US","00627","Puerto Rico"
500631,"US","00631","Puerto Rico"
500637,"US","00637","Puerto Rico"
500638,"US","00638","Puerto Rico"
500641,"US","00641","Puerto Rico"
500646,"US","00646","Puerto Rico"
500647,"US","00647","Puerto Rico"
500650,"US","00650","Puerto Rico"
500652,"US","00652","Puerto Rico"
500653,"US","00653","Puerto Rico"
500656,"US","00656","Puerto Rico"
500659,"US","00659","Puerto Rico"
500660,"US","00660","Puerto Rico"
500662,"US","00662","Puerto Rico"
500664,"US","00664","Puerto Rico"
500667,"US","00667","Puerto Rico"
500669,"US","00669","Puerto Rico"
500670,"US","00670","Puerto Rico"
500674,"US","00674","Puerto Rico"
500676,"US","00676","Puerto Rico"
500677,"US","00677","Puerto Rico"
500678,"US","00678","Puerto Rico"
500680,"US","00680","Puerto Rico"
500682,"US","00682","Puerto Rico"
500683,"US","00683","Puerto Rico"
500685,"US","00685","Puerto Rico"
500687,"US","00687","Puerto Rico"
500688,"US","00688","Puerto Rico"
500690,"US","00690","Puerto Rico"
500692,"US","00692","Puerto Rico"
500693,"US","00693","Puerto Rico"
500694,"US","00694","Puerto Rico"
500698,"US","00698","Puerto Rico"
500703,"US","00703","Puerto Rico"
500704,"US","00704","Puerto Rico"
500705,"US","00705","Puerto Rico"
500707,"US","00707","Puerto Rico"
500714,"US","00714","Puerto Rico"
500715,"US","00715","Puerto Rico"
500716,"US","00716","Puerto Rico"
500717,"US","00717","Puerto Rico"
500718,"US","00718","Puerto Rico"
500719,"US","00719","Puerto Rico"
500720,"US","00720","Puerto Rico"
500723,"US","00723","Puerto Rico"
500725,"US","00725","Puerto Rico"
500727,"US","00727","Puerto Rico"
500728,"US","00728","Puerto Rico"
500729,"US","00729","Puerto Rico"
500730,"US","00730","Puerto Rico"
500731,"US","00731","Puerto Rico"
500735,"US","00735","Puerto Rico"
500736,"US","00736","Puerto Rico"
500738,"US","00738","Puerto Rico"
500739,"US","00739","Puerto Rico"
500740,"US","00740","Puerto Rico"
500741,"US","00741","Puerto Rico"
500745,"US","00745","Puerto Rico"
500751,"US","00751","Puerto Rico"
500754,"US","00754","Puerto Rico"
500757,"US","00757","Puerto Rico"
500765,"US","00765","Puerto Rico"
500766,"US","00766","Puerto Rico"
500767,"US","00767","Puerto Rico"
500769,"US","00769","Puerto Rico"
500771,"US","00771","Puerto Rico"
500772,"US","00772","Puerto Rico"
500773,"US","00773","Puerto Rico"
500775,"US","00775","Puerto Rico"
500777,"US","00777","Puerto Rico"
500778,"US","00778","Puerto Rico"
500780,"US","00780","Puerto Rico"
500782,"US","00782","Puerto Rico"
500783,"US","00783","Puerto Rico"
500784,"US","00784","Puerto Rico"
500786,"US","00786","Puerto Rico"
500791,"US","00791","Puerto Rico"
500794,"US","00794","Puerto Rico"
500795,"US","00795","Puerto Rico"
500801,"US","00801","United States Virgin Islands"
500802,"US","00802","United States Virgin Islands"
500820,"US","00820","United States Virgin Islands"
500823,"US","00823","United States Virgin Islands"
500824,"US","00824","United States Virgin Islands"
500830,"US","00830","United States Virgin Islands"
500831,"US","00831","United States Virgin Islands"
500840,"US","00840","United States Virgin Islands"
500841,"US","00841","United States Virgin Islands"
500850,"US","00850","United States Virgin Islands"
500851,"US","00851","United States Virgin Islands"
500901,"US","00901","Puerto Rico"
500907,"US","00907","Puerto Rico"
500909,"US","00909","Puerto Rico"
500911,"US","00911","Puerto Rico"
500912,"US","00912","Puerto Rico"
500913,"US","00913","Puerto Rico"
500915,"US","00915","Puerto Rico"
500917,"US","00917","Puerto Rico"
500918,"US","00918","Puerto Rico"
500920,"US","00920","Puerto Rico"
500921,"US","00921","Puerto Rico"
500923,"US","00923","Puerto Rico"
500924,"US","00924","Puerto Rico"
500925,"US","00925","Puerto Rico"
500926,"US","00926","Puerto Rico"
500927,"US","00927","Puerto Rico"
500934,"US","00934","Puerto Rico"
500936,"US","00936","Puerto Rico"
500949,"US","00949","Puerto Rico"
500950,"US","00950","Puerto Rico"
500951,"US","00951","Puerto Rico"
500952,"US","00952","Puerto Rico"
500953,"US","00953","Puerto Rico"
500956,"US","00956","Puerto Rico"
500957,"US","00957","Puerto Rico"
500959,"US","00959","Puerto Rico"
500960,"US","00960","Puerto Rico"
500961,"US","00961","Puerto Rico"
500962,"US","00962","Puerto Rico"
500965,"US","00965","Puerto Rico"
500966,"US","00966","Puerto Rico"
500968,"US","00968","Puerto Rico"
500969,"US","00969","Puerto Rico"
500971,"US","00971","Puerto Rico"
500976,"US","00976","Puerto Rico"
500979,"US","00979","Puerto Rico"
500982,"US","00982","Puerto Rico"
500983,"US","00983","Puerto Rico"
500985,"US","00985","Puerto Rico"
500987,"US","00987","Puerto Rico"
501001,"US","01001","Massachusetts"
501002,"US","01002","Massachusetts"
501003,"US","01003","Massachusetts"
501005,"US","01005","Massachusetts"
501007,"US","01007","Massachusetts"
501008,"US","01008","Massachusetts"
501009,"US","01009","Massachusetts"
501010,"US","01010","Massachusetts"
501011,"US","01011","Massachusetts"
501012,"US","01012","Massachusetts"
501013,"US","01013","Massachusetts"
501020,"US","01020","Massachusetts"
501022,"US","01022","Massachusetts"
501026,"US","01026","Massachusetts"
501027,"US","01027","Massachusetts"
501028,"US","01028","Massachusetts"
501029,"US","01029","Massachusetts"
501030,"US","01030","Massachusetts"
501031,"US","01031","Massachusetts"
501032,"US","01032","Massachusetts"
501033,"US","01033","Massachusetts"
501034,"US","01034","Massachusetts"
501035,"US","01035","Massachusetts"
501036,"US","01036","Massachusetts"
501037,"US","01037","Massachusetts"
501038,"US","01038","Massachusetts"
501039,"US","01039","Massachusetts"
501040,"US","01040","Massachusetts"
501050,"US","01050","Massachusetts"
501053,"US","01053","Massachusetts"
501054,"US","01054","Massachusetts"
501056,"US","01056","Massachusetts"
501057,"US","01057","Massachusetts"
501060,"US","01060","Massachusetts"
501062,"US","01062","Massachusetts"
501063,"US","01063","Massachusetts"
501066,"US","01066","Massachusetts"
501068,"US","01068","Massachusetts"
501069,"US","01069","Massachusetts"
501070,"US","01070","Massachusetts"
501071,"US","01071","Massachusetts"
501072,"US","01072","Massachusetts"
501073,"US","01073","Massachusetts"
501074,"US","01074","Massachusetts"
501075,"US","01075","Massachusetts"
501077,"US","01077","Massachusetts"
501079,"US","01079","Massachusetts"
501080,"US","01080","Massachusetts"
501081,"US","01081","Massachusetts"
501082,"US","01082","Massachusetts"
501083,"US","01083","Massachusetts"
501084,"US","01084","Massachusetts"
501085,"US","01085","Massachusetts"
501086,"US","01086","Massachusetts"
501088,"US","01088","Massachusetts"
501089,"US","01089","Massachusetts"
501092,"US","01092","Massachusetts"
501093,"US","01093","Massachusetts"
501094,"US","01094","Massachusetts"
501095,"US","01095","Massachusetts"
501096,"US","01096","Massachusetts"
501097,"US","01097","Massachusetts"
501098,"US","01098","Massachusetts"
501103,"US","01103","Massachusetts"
501104,"US","01104","Massachusetts"
501105,"US","01105","Massachusetts"
